8 719.4 1283.48 10.15 8.02044 5 0.632456
16 365.15 46.4061 9.15 1.87816 5.4 0.489898
32 396.5 19.7091 13.95 1.43091 10.25 0.942072
64 512.8 10.1912 32.45 0.804674 28.45 0.497494
128 979.75 96.6022 101.9 4.22966 94.6 5.9279
256 2829.45 264.053 372.65 24.6481 369.4 7.05975
512 5498 2597.95 588.25 534.005 566.8 523.962
1024 14831.6 685.941 1159.85 80.0033 1095.2 49.2977
2048 59894.8 468.583 4696.2 74.8356 4338.25 226.493
4096 239537 988.958 18277.8 522.596 16451.4 315.962
8192 956159 1857.33 71292.3 1643.9 67346.3 674.428
16384 3.92815e+06 49140.7 325814 48217.5 301595 58287
