4:	11785.9	34.4	5
8:	6003	7.6	3.6
16:	365.3	8.4	5.2
32:	396.5	12.7	10
64:	505.1	29.6	26
128:	896	93	87.6
256:	2589	340.1	335.4
512:	6699	1052.9	978.9
1024:	14730.2	1104.7	1073.7
2048:	57457.8	4918.4	4933.5
4096:	226206	21386	20931.7
8192:	880218	89187.1	85170.5
16384:	3.80112e+06	381094	393281
32768:	2.02297e+07	1.9315e+06	1.82894e+06
